Grant,"Organization Name","Focus Area",Amount,Date
"Massachusetts Institute of Technology — Synthetic Neurobiology Group (2018)","MIT Synthetic Neurobiology Group","Scientific Research","$3,000,000","February 2018"
"Massachusetts Institute of Technology — Synthetic Neurobiology Group","MIT Synthetic Neurobiology Group","Scientific Research","$2,970,000","March 2016"
"Clinton Health Access Initiative — Effectiveness Improvements for Health Multilaterals","Clinton Health Access Initiative","Global Aid Policy","$250,000","June 2024"
"YIMBY Action — Housing Advocacy in California (2024)","YIMBY Action","Land Use Reform","$120,000","June 2024"
"Government Relations Group — Global Health Aid Study Tour in Ghana","Government Relations Group","Global Aid Policy","$250,000","May 2024"
"Effective Altruism Germany — ML4Good Bootcamp (2024)","Effective Altruism Germany","Global Catastrophic Risks Capacity Building","$57,000","May 2024"
"Effective Altruism UK — Biosecurity Networking Event","Effective Altruism UK","Biosecurity & Pandemic Preparedness","$7,500","June 2024"
"International Vaccines Institute — Cholera Vaccine Phase II Trial","International Vaccine Institute","Human Health and Wellbeing","$6,600,000","June 2024"
"Eurogroup for Animals — Chicken Welfare Advocacy (2024)","Eurogroup for Animals","Broiler Chicken Welfare","$905,229","May 2024"
"University of California, San Diego — AI Persuasiveness Evaluation","University of California, San Diego","Potential Risks from Advanced AI","$470,731","April 2024"
"Indiana University — Respiratory Distress Syndrome Interventions","Indiana University","Global Health R&D","$1,772,195","April 2024"
"Fórum Nacional de Proteção e Defesa Animal — Corporate Campaigns in Brazil (2024)","Fórum Nacional de Proteção e Defesa Animal","Cage-Free Reforms","$406,300","June 2024"
"We Animals Media — Content for Farm Animal Welfare Advocacy (2024)","We Animals Media","Farm Animal Welfare","$400,000","June 2024"
"Compassion in World Farming USA — Implementation of Corporate Pledges (2024)","Compassion in World Farming USA","Broiler Chicken Welfare","$1,300,000","May 2024"
"Nautilus Collaboration — Literature Review on Stress Markers in Farmed Fish","Nautilus Collaboration","Farm Animal Welfare","$25,000","May 2024"
"Conservative Animal Welfare Foundation — UK Farm Animal Welfare Advocacy","Conservative Animal Welfare Foundation","Farm Animal Welfare","$816,400","April 2024"
"Princeton University — Software Engineering LLM Benchmark","Princeton University","Potential Risks from Advanced AI","$1,045,620","May 2024"
"Effective Ventures Foundation USA — Harvard Square Coworking Space","Effective Ventures Foundation USA","Global Catastrophic Risks Capacity Building","$7,644,020","April 2023"
"International Institute of Information Technology Hyderabad — AI Systems Course","International Institute of Information Technology Hyderabad","Global Catastrophic Risks Capacity Building","$7,000","May 2024"
"Gi Effektivt — General Support","Gi Effektivt","Effective Altruism (Global Health and Wellbeing)","$937,000","June 2024"
"Solutions for Our Climate Korea — Alternative Protein R&D","Solutions for Our Climate Korea","Alternatives to Animal Products","$200,000","March 2024"
"UC Davis — Insectary for Malaria Gene Drive Research","University of California, Davis","Human Health and Wellbeing","$500,000","April 2024"
"Harvard University — Antimalarial Bednet Development and Evaluation","Harvard University","Global Health R&D","$2,838,070","May 2024"
"University of Warsaw — Effective Altruism Course Development","University of Warsaw","Global Catastrophic Risks Capacity Building","$6,160","May 2024"
"Northeastern University — Large Language Model Interpretability Research (2024)","Northeastern University","Potential Risks from Advanced AI","$1,095,017","May 2024"
"Liverpool School of Tropical Medicine — Malaria Chemoprevention in School-Aged Children","Liverpool School of Tropical Medicine","Global Health R&D","$100,000","May 2024"
"Fund for the Global Fund — Global Fund Awareness in Japan","Fund for the Global Fund","Global Aid Policy","$661,635","May 2024"
"Positive Money Europe — Exit Grant","Positive Money Europe","Macroeconomic Stabilization Policy","$77,000","April 2024"
"Government Relations Group — Japanese Support for NTD Elimination","Government Relations Group","Global Aid Policy","$40,200","June 2024"
"Stanford University — LLM-Generated Research Ideation Benchmark","Stanford University","Potential Risks from Advanced AI","$880,000","May 2024"
"Bouisson-Bertrand Institute — Loiasis (African Eye Worm) Impact Study","Bouisson-Bertrand Institute","Global Health R&D","$211,014","May 2024"
"Apollo Research — General Support","Apollo Research","Potential Risks from Advanced AI","$2,178,700","May 2024"
"Eurogroup for Animals — European Union Trade Strategy (2024)","Eurogroup for Animals","Farm Animal Welfare","$1,340,601","May 2024"
"Probably Good — Career Advice (May 2024)","Probably Good","Effective Altruism (Global Health and Wellbeing)","$250,000","May 2024"
"A World of Good Initiative — Farm Animal Welfare Forum","A World of Good Initiative","Farm Animal Welfare","$39,400","May 2024"
"University of Pennsylvania — Human Germ Cell Research (2023)","University of Pennsylvania","Human Health and Wellbeing","$2,585,990","December 2023"
"Berkeley Existential Risk Initiative — AI for Epistemics Workshop ","Berkeley Existential Risk Initiative","Global Catastrophic Risks Capacity Building","$21,060","April 2024"
"Faculty AI — Wargame for AI Documentary ","Faculty AI","Potential Risks from Advanced AI","$92,597","May 2024"
"Kyle House Group — Aid Policy Strategy (2024)","Kyle House Group","Global Aid Policy","$900,000","January 2024"
"University of Chicago — Existential Risk Laboratory Fellowship Program (2024)","University of Chicago","Global Catastrophic Risks Capacity Building","$301,800","April 2024"
"Effective Altruism Israel — Information Security Talent Development","Effective Altruism Israel","Potential Risks from Advanced AI","$139,228","May 2024"
"Pahle India Foundation — Lead Policy Research","Pahle India Foundation","Global Public Health Policy","$187,732","April 2024"
"Rethink Priorities — Effective Altruism Brand Strategy Research","Rethink Priorities","Global Catastrophic Risks Capacity Building","$88,240","April 2024"
"Imperial College London — Malaria Vaccine Research","Imperial College London","Global Health R&D","$46,524","May 2024"
"Big Picture — Global Health Aid Advocacy in Japan","Big Picture","Global Aid Policy","$22,400","April 2024"
"Successif — Career Advising (2024)",Successif,"Global Catastrophic Risks Capacity Building","$1,149,000","March 2024"
"Sage — AI Explainers",Sage,"Potential Risks from Advanced AI","$550,000","May 2024"
"Sage — Software Tools for Forecasting",Sage,Forecasting,"$550,000","May 2024"
"Metaculus — Platform Development (2024)",Metaculus,Forecasting,"$2,750,000","April 2024"
"Rethink Priorities — Research on LLM Use","Rethink Priorities","Potential Risks from Advanced AI","$115,887","April 2024"
"People for Animals Uttarakhand — Cage-Free Farm and Training Center","People for Animals Uttarakhand","Farm Animal Welfare","$200,000","April 2024"
"AI Standards Lab — AI Standards and Risk Management Frameworks","AI Standards Lab","Potential Risks from Advanced AI","$200,000","May 2024"
"Humane Canada — Farmed Animal Standards","Humane Canada","Farm Animal Welfare","$213,500","February 2024"
"Carnegie Mellon University — LLM Use Case Database","Carnegie Mellon University","Potential Risks from Advanced AI","$266,805","May 2024"
"Princeton University — Scalable Oversight Research","Princeton University","Potential Risks from Advanced AI","$100,000","April 2024"
"University of Wisconsin–Madison — Scalable Oversight Research","University of Wisconsin–Madison","Potential Risks from Advanced AI","$100,000","April 2024"
"Metaculus — Forecasting Tournaments",Metaculus,"Potential Risks from Advanced AI","$532,400","May 2024"
"Monash University — Academia and Policymaking Living Literature Review","Monash University","Innovation Policy","$69,324","February 2024"
"Growth Teams — Conference Support","Growth Teams","Global Health & Wellbeing","$72,500","April 2024"
"Wageningen University — Wild-Caught Fish Welfare (2024)","Wageningen University","Farm Animal Welfare","$831,750","April 2024"
"Norwegian Church Aid — Health Aid Advocacy","Norwegian Church Aid","Global Aid Policy","$200,000","April 2024"
"Animal & Vegan Advocacy Summit — Travel Scholarships (2024)","Animal &amp; Vegan Advocacy Summit","Farm Animal Welfare","$360,000","January 2024"
"Simon Institute for Longterm Governance — General Support","Simon Institute for Longterm Governance ","Potential Risks from Advanced AI","$1,461,194","April 2024"
"EA Netherlands — AI Safety Retreat","EA Netherlands","Global Catastrophic Risks Capacity Building","$25,000","April 2024"
"Institute for AI Policy and Strategy — General Support (April 2024)","Institute for AI Policy and Strategy","Potential Risks from Advanced AI","$828,049","April 2024"
"Safe AI Forum — Operating Expenses","Safe AI Forum","Potential Risks from Advanced AI","$1,167,513","December 2023"
"Peterson Institute for International Economics — Indian Economic Policy Reform (2024)","Peterson Institute for International Economics","Global Health & Development","$680,000","April 2024"
"University of Stirling — Research on Electrical Stunning (2024)","University of Stirling","Farm Animal Welfare","$363,054","April 2024"
"Hive (formerly Impactful Animal Advocacy) – General Support (2023) ",Hive,"Farm Animal Welfare","$100,000","January 2024"
"Hospital for Sick Children – Malaria Vaccine Research and Preclinical Development","Hospital for Sick Children","Global Health R&D","$5,684,065","March 2024"
"Institute for Replication — Large Language Model Replication Games","Institute for Replication","Potential Risks from Advanced AI","$174,112","February 2024"
"Cooperation Canada — International Assistance Advocacy in Canada (2024)","Cooperation Canada","Global Aid Policy","$50,000","March 2024"
"Clinton Health Access Initiative — Aid Efficacy Support","Clinton Health Access Initiative","Global Aid Policy","$423,775","March 2024"
"Forecasting Research Institute — Red-line Evaluations","Forecasting Research Institute","Potential Risks from Advanced AI","$125,000","April 2024"
"Ethical Seafood Research — Aquaculture Strategy in Zanzibar","Ethical Seafood Research","Farm Animal Welfare","$81,659","February 2024"
"Giving What We Can — General Support (2024)","Giving What We Can","Effective Altruism (Global Health and Wellbeing)","$785,000","February 2024"
"Touro College & University System — AI Governance Legal Research","Touro College &amp; University System","Potential Risks from Advanced AI","$19,783","February 2024"
"World Health Organization — Syphilis Medication Trials","World Health Organization","Scientific Research","$395,978","April 2024"
"Mary Ann Liebert, Inc. — Open Source Biosafety Articles","Mary Ann Liebert Inc.","Biosecurity & Pandemic Preparedness","$50,400","February 2024"
"Global Challenges Project — General Support (2024)","Global Challenges Project","Global Catastrophic Risks Capacity Building","$441,000","March 2024"
"Leibniz Institute for Economic Research — Development Economics Paper Replication","Leibniz Institute for Economic Research","Innovation Policy","$80,246","February 2024"
"Platinum — Global Health Advocacy in Ghana",Platinum,"Global Aid Policy","$118,000","January 2024"
"Effective Ventures Foundation — Office Space (2024)","Effective Ventures Foundation","Global Catastrophic Risks Capacity Building","$500,000","February 2024"
"Effective Ventures Foundation — Office Space (2023)","Effective Ventures Foundation","Global Catastrophic Risks Capacity Building","$320,000","October 2023"
"Straumli — LLM Cyberoffense Benchmark",Straumli,"Potential Risks from Advanced AI","$400,000","February 2024"
"University of Michigan — Scalable Oversight Research","University of Michigan","Potential Risks from Advanced AI","$100,000","February 2024"
"University of Oxford — Hepatitis C Challenge Model","University of Oxford","Human Health and Wellbeing","$1,353,450","April 2024"
"European Institute for Animal Law & Policy — EU Farm Animal Welfare Advocacy","European Institute for Animal Law and Policy","Farm Animal Welfare","$1,819,991","March 2024"
"Carnegie Mellon University — Benchmark for Web-Based Tasks","Carnegie Mellon University","Potential Risks from Advanced AI","$547,452","March 2024"
"LASR Labs — Fellowship Program","LASR Labs","Global Catastrophic Risks Capacity Building","$288,732","April 2024"
"Forecasting Research Institute – Forecasting Benchmark ","Forecasting Research Institute","Potential Risks from Advanced AI","$100,000","April 2024"
"Compassion in World Farming — Farm Animal Welfare Advocacy ","Compassion in World Farming","Farm Animal Welfare","$812,000","April 2024"
"Lead Exposure Elimination Project — New Method for Lead Paint Measurement","Lead Exposure Elimination Project","Global Public Health Policy","$19,500","April 2024"
"Mercer University – New Method for Lead Paint Measurement ","Mercer University","Global Public Health Policy","$225,500","February 2024"
"KU Leuven — Influenza Antiviral Research","KU Leuven","Science Supporting Biosecurity and Pandemic Preparedness","$3,550,000","April 2024"
"Life Sciences Research Foundation — Postdoctoral Fellowship","Life Sciences Research Foundation","Scientific Research","$218,500","April 2024"
"Harvard University — Fluorescent Imaging for In Vivo Monitoring","Harvard University","Scientific Innovation: Tools and Techniques","$974,132","January 2024"
"University of California, Los Angeles – Social Science Genetic Association Consortium (2023)","University of California, Los Angeles","Scientific Innovation: Tools and Techniques","$1,500,000","January 2024"
"Harvard University — CRISPR-Based Diagnostics for Febrile Diseases (2024)","Harvard University","Human Health and Wellbeing","$1,597,247","February 2024"
"FABRIC — Rationality Camp Programs",FABRIC,"Global Catastrophic Risks Capacity Building","$500,000","January 2024"
"FABRIC — General Support",FABRIC,"Global Catastrophic Risks Capacity Building","$1,436,000","February 2024"
"Pure Earth — Lead Exposure Measurement and Intervention","Pure Earth","Global Public Health Policy","$2,434,910","February 2024"
"Berkeley Existential Risk Initiative — CHAI Internships","Berkeley Existential Risk Initiative","Potential Risks from Advanced AI","$500,000","January 2024"
"Focus Philanthropy — Farm Animal Welfare Fundraising (2024)","Focus Philanthropy","Farm Animal Welfare","$880,000","April 2024"
"New York University — Social Science Genetic Association Consortium (2023)","New York University","Scientific Innovation: Tools and Techniques","$1,000,000","January 2024"
"Animal Charity Evaluators — General Support (2024)","Animal Charity Evaluators","Scientific Innovation: Tools and Techniques","$900,000","March 2024"
"RSPCA Australia — Broiler Chicken Reports","RSPCA Australia","Broiler Chicken Welfare","$72,347","March 2024"
"Existential Risk Alliance — Cambridge AI Fellowship ","Existential Risks Alliance","Global Catastrophic Risks Capacity Building","$1,015,101","January 2024"
"Longview Philanthropy — Effective Giving Information Sharing","Longview Philanthropy","Global Catastrophic Risks Capacity Building","$595,426","January 2024"
"Albright Stonebridge Group — Korean Global Aid Advocacy","Albright Stonebridge Group","Global Aid Policy","$1,000,000","January 2024"
"Swiss Tropical and Public Health Institute — Emodepside Phase III Trial","Swiss Tropical and Public Health Institute","Global Health R&D","$5,000,000","January 2024"
"Rethink Priorities — General Support (2024)","Rethink Priorities","Global Catastrophic Risks","$2,100,000","January 2024"
"University Health Network — Hepatitis C Challenge Model","University Health Network","Human Health and Wellbeing","$1,460,000","March 2024"
"Compassion in World Farming — Farmed Fish Welfare ","Compassion in World Farming","Farm Animal Welfare","$1,504,198","April 2024"
"Lee Foster — LLM Misuse Database","Lee Foster","Potential Risks from Advanced AI","$223,000","January 2024"
"Institute for AI Policy and Strategy — General Support","Institute for AI Policy and Strategy","Potential Risks from Advanced AI","$2,916,898","January 2024"
